# chinese,pinyin,english and descriptions
零,ling2,0/zero
〇,ling2,0/zero (year dates only)
一,yi1,1/one
幺,yao1,junior/tiny/1/one (telephone or military numbers)
二,er4,2/two
两,liang3,2/two/couple (with measure words/quantities)
三,san1,3/three
四,si4,4/four
五,wu3,5/five
六,liu4,6/six
七,qi1,7/seven
八,ba1,8/eight
九,jiu3,9/nine
十,shi2,10/ten
十七,shi2 qi1,17/seventeen
二十四,er4 shi2 si4,24/twenty four
三十一,san1 shi2 yi1,31/thirty one
三十八,san1 shi2 ba1,38/thirty eight
四十五,si4 shi2 wu3,45/forty five
五十二,wu3 shi2 er4,52/fifty two
五十九,wu3 shi2 jiu3,59/fifty nine
六十六,liu4 shi2 liu4,66/sixty six
七十三,qi1 shi2 san1,73/seventy three
八十,ba1 shi2,80/eighty
八十七,ba1 shi2 qi1,87/eighty seven
九十四,jiu3 shi2 si4,94/ninety four
百,bai3,hundred
一百,yi1:4 bai3,100/one hundred
一百零七,yi1:4 bai3 ling2 qi1,107/one hundred seven
一百一十四,yi1:4 bai3 yi1 shi2 si4,114/one hundred fourteen
千,qian1,thousand
万,wan4,ten thousand
十万,shi2 wan4,hundred thousand
百万,bai3 wan4,million
千万,qian1 wan4,ten million
亿,yi4,hundred million
现,xian4,appear/present/now (c. 现在)
现在,xian4 zai4,now/right now (cannot reference past)
今,jin1,present/current/this time period
天,tian1,day/sky/heaven component
今天,jin1 tian1,today
明,ming2,bright/next (day or year)
明天,ming2 tian1,tomorrow
年,nian2,year (after numbers)
岁,sui4,is ... years old (after numbers)/mw for years
四五十岁,si4 wu3 shi2 sui4,40 or 50 years old
二〇三四年,er4 ling2 san1 si4 nian2,2034 year (alt. 二零三四年)
一九八五年,yi1 jiu3 ba1 wu3 nian2,1985 year
月,yue4,moon/month (after numbers)
号,hao4,number/day of month (conversational)
日,ri4,sun/day of month (written)
点,dian3,point/oclock/o'clock (after numbers)/order food/mouse click (slang)
点钟,dian3 zhong1,oclock/o'clock (after numbers)
半,ban4,half/half past the hour (30 minutes)
四点钟,si4 dian3 zhong1,4:00/4 oclock/4 o'clock (alt. 四点)
四点半,si4 dian3 ban4,4:30/half past 4
四点三十九,si4 dian3 san1 shi2 jiu3,4:39
四点零六,si4 dian3 ling2 liu4,4:06
一下,yi1:2 xia4,a bit of effort/perform quickly (after action verb)
一会儿,yi1:2 hui4 r,in a bit of time/in a moment (after subj)
一点儿,yi1:4 dia3 r,a bit of quantity (before obj)/a bit more (after adj)
