# chinese,pinyin,english and descriptions
今天,jin1 tian1,today/11
中国,zhong1 guo2,china/12
冰水,bing1 shui3,ice water/13
知道,zhi1 dao4,to know/14
真的,zhen1 de,really/15
明天,ming2 tian1,tomorrow/21
明年,ming2 nian2,next year/22
啤酒,pi2 jiu3,beer/23
容易,rong2 yi4,easy/24
什么,shen2 me,what?/25
喜欢,xi3 huan1,to like/31
起床,qi3 chuang2,to get up/32
你好,ni3:2 hao3,hello/33
炒饭,chao3 fan4,fried rice/34
我的,wo3 de,wo3 de/35
面包,mian4 bao1,bread/41
问题,wen4 ti2,question/42
这里,zhe4 li3,here/43
再见,zai4 jian4,goodbye/44
谢谢,xie4 xie,thanks/45
