# chinese,pinyin,english1/english2/english3
我,wo3,i
你,ni3,you
他,ta1,he/him
她,ta1,she/her
们,men,plural
我们,wo3 men,we
你们,ni3 men,you
他们,ta1 men,they/male
她们,ta1 men,they/female
的,de,possessive/'s
我的,wo3 de,my
你的,ni3 de,your
他的,ta1 de,his
她的,ta1 de,hers
我们的,wo3 men de,our
你们的,ni3 men de,your
他们的,ta1 men de,their/male
她们的,ta1 men de,their/female
好,hao3,good
你好,ni3 hao3,hello
再,zai4,again
见,jian4,see
再见,zai4 jian4,goodbye
吗,ma,?/question
不,bu4,no/not
也,ye3,and
饭,fan4,rice/meal
鱼,yu2,fish
喝,he1,drink
茶,cha2,tea
吃,chi1,eat
姓,xing4,surname/family name/last name
高兴,gao1 xing4,happy
很,hen3,very
零,ling2,0
一,yi1,1
二,er4,2
三,san1,3
四,si4,4
五,wu3,5
六,liu4,6
七,qi1,7
八,ba1,8
九,jiu3,9
十,shi2,10
百,bai3,hundred
元,yuan2,yuan
名字,ming2 zi,name
什么,shen2 me,what is
叫,jiao4,am
中,zhong1,central
中国,zhong1 guo2,china
美国,mei3 guo2,usa
英国,ying1 guo2,uk
人,ren2,person
是,shi4,is
水,shui3,water
面,mian4,noodles
老师,lao3 shi1,teacher
医生,yi1 sheng1,doctor
学生,xue2 sheng1,student
今天,jin1 tian1,today
怎,zen3,how are things(wrong）
台湾,tai2 wan1,taiwan
伦敦,lun2 dun1,london
住,zhu4,lives
